Matrícula	Nota
211708023	0,0
221704021	85,0
231708029	94,5
241704002	100,0
241704003	95,0
241704004	85,0
241704005	90,0
241704006	100,0
241704007	90,0
241704008	97,5
241704009	97,5
241704010	0,0
241704011	100,0
241704013	92,5
241704016	100,0
241704018	100,0
241704020	97,5
241704021	87,5
241704023	77,5
241704024	100,0
241704025	100,0
241704026	100,0
241704027	72,5
241704034	100,0
241704035	0,0
241704501	76,3
241708001	97,5
241708002	100,0
241708004	90,0
241708005	82,5
241708006	90,0
241708007	97,5
241708010	100,0
241708011	97,5
241708012	80,0
241708013	90,0
241708014	90,0
241708015	90,0
241708016	97,5
241708020	85,0
241708021	87,5
241708022	90,0
241708023	100,0
241708024	82,5
241708026	82,5
241708028	97,5
241708030	87,5
241708032	82,0
241708037	92,5
241708039	87,5
241708040	90,0
241708041	70,0
241708045	87,5
241708046	90,0
241708048	100,0
241708055	100,0
241708056	70,0
241708057	64,5
241708060	82,5
241708066	95,0
